Handling_blank,Untreated,Dry_heat,Wet_heat
-21.3,-14.02,-7.31,-15.04
-22.99,-14.25,-10.66,-15.29
-23.88,-14.4,-15.92,-15.43
-24.13,-14.65,-21.04,-15.58
-25.13,-14.77,-23.56,-15.62
-25.19,-14.84,-23.72,-15.84
-25.42,-14.88,-24.06,-15.88
-25.42,-14.95,-24.09,-16.02
-25.52,-14.95,-24.17,-16.06
-25.94,-15.03,-25,-16.14
-26.41,-15.11,-25.06,-16.14
-26.43,-15.11,-25.23,-16.19
-26.65,-15.15,-25.34,-16.23
-26.75,-15.19,-25.4,-16.27
-27.06,-15.19,-25.53,-16.27
-27.11,-15.23,-25.72,-16.3
-27.34,-15.23,-26.06,-16.3
-27.43,-15.27,-26.12,-16.34
-28.17,-15.34,-26.22,-16.34
-28.45,-15.38,-26.32,-16.38
-28.89,-15.38,-26.4,-16.41
-28.92,-15.41,-27.01,-16.41
-29.19,-15.41,-27.51,-16.41
-29.41,-15.46,-27.51,-16.45
-29.48,-15.53,-27.6,-16.47
-29.61,-15.53,-27.66,-16.47
-29.77,-15.53,-27.94,-16.47
-29.9,-15.57,-27.99,-16.47
-30.03,-15.6,-28.03,-16.5
-30.16,-15.6,-28.34,-16.5
-30.3,-15.6,-28.52,-16.5
-30.7,-15.6,-28.55,-16.56
-30.77,-15.67,-28.69,-16.6
-31.11,-15.71,-28.76,-16.6
-31.22,-15.79,-28.85,-16.6
-32.36,-15.82,-28.89,-16.6
-32.49,-15.86,-29.58,-16.62
-32.56,-15.9,-30.02,-16.65
-32.63,-16.14,-30.14,-16.67
-32.65,,-30.81,-16.67
-32.69,,-31.01,-16.74
,,-31.7,-16.74
,,-32.44,-16.78
,,-32.54,-16.78
,,-32.67,
,,-33.08,
