Group,N_total,tf,at_risk,events,fraction_frozen,S_T,FF_CI_lower,FF_CI_upper,K,K_CI_lower,K_CI_upper
Handling_blank,41,-21.3,41,1,0.024390243902439025,0.975609756097561,0.00347194802974371,0.1608028870351309,0.02469261259037152,0.003477989228509672,0.17530966212895446
Handling_blank,41,-22.99,40,1,0.04878048780487805,0.9512195121951219,0.012427496852893127,0.18126724138800854,0.05001042057466142,0.01250536399358044,0.19999755043822925
Handling_blank,41,-23.88,39,1,0.07317073170731707,0.9268292682926829,0.02420221509024223,0.20995756687144185,0.07598590697792199,0.02449990162782019,0.2356686221425921
Handling_blank,41,-24.13,38,1,0.0975609756097561,0.9024390243902438,0.03777855895032611,0.23939053240135144,0.10265415406008334,0.03851066660434544,0.27363523602580986
Handling_blank,41,-25.13,37,1,0.12195121951219512,0.8780487804878049,0.052660189829630166,0.268497582302728,0.13005312824819779,0.054097422102037024,0.31265475340469684
Handling_blank,41,-25.19,36,1,0.14634146341463414,0.8536585365853658,0.06855995703810369,0.29706219796659017,0.15822400521489416,0.0710234571292082,0.35248686614478203
Handling_blank,41,-25.42,35,2,0.1951219512195122,0.8048780487804877,0.1027353316520403,0.3525029362822659,0.2170645052378275,0.10840440097107008,0.43464102021759277
Handling_blank,41,-25.52,33,1,0.21951219512195122,0.7804878048780487,0.12079366278323633,0.379433882284834,0.2478361639045812,0.12873566798334798,0.47712312446993016
Handling_blank,41,-25.94,32,1,0.24390243902439024,0.7560975609756097,0.1394009607958252,0.4058827579500026,0.27958486221916157,0.15012657500380736,0.5206786019072589
Handling_blank,41,-26.41,31,1,0.2682926829268293,0.7317073170731706,0.15850534634896585,0.43187929628204846,0.31237468504215243,0.1725756187273305,0.565421376291614
Handling_blank,41,-26.43,30,1,0.2926829268292683,0.7073170731707316,0.17806637817491222,0.45744901741750654,0.3462762367178338,0.19609563922418458,0.6114732208725074
Handling_blank,41,-26.65,29,1,0.3170731707317073,0.6829268292682926,0.1980521218832384,0.48261333514890414,0.381367556529104,0.2207116631069059,0.6589647829463913
Handling_blank,41,-26.75,28,1,0.34146341463414637,0.6585365853658536,0.218437169911186,0.5073899292344335,0.4177352006999788,0.24645973556554404,0.7080373494008071
Handling_blank,41,-27.06,27,1,0.36585365853658536,0.6341463414634146,0.23920126703458622,0.5317931564987128,0.45547552868282576,0.2733864331500644,0.7588451074125688
Handling_blank,41,-27.11,26,1,0.3902439024390244,0.6097560975609756,0.26032833703335145,0.5558344206496142,0.49469624183610705,0.3015488899410317,0.8115578596048701
Handling_blank,41,-27.34,25,1,0.4146341463414634,0.5853658536585366,0.2818057849720581,0.5795224764428899,0.5355182363563621,0.33101525204306004,0.866364252704957
Handling_blank,41,-27.43,24,1,0.43902439024390244,0.5609756097560975,0.3036239957135827,0.602863664505275,0.578077850775158,0.36186552847897024,0.9234756429037605
