15_1_5,15_1_10,15_1_20,15_1_50,15_1_100,15_1_1000,16_1_5,16_1_10,16_1_20,16_1_50,16_1_100,16_1_1000,15_3_5,15_3_10,15_3_20,15_3_50,15_3_100,15_3_1000
-14.9,-14.1,-12.5,-12.7,-12,-11.9,-15.1,-14.9,-13.9,-13.3,-13.2,-13.2,-9.72,-9.46,-6.71,-7.36,-8.01,-5.84
-15,-14.3,-12.7,-13.7,-12.5,-12.1,-15.2,-15.5,-13.9,-14,-13.8,-13.3,-11.4,-11.7,-8.27,-8.5,-8.31,-6.38
-15.1,-14.7,-13.6,-13.7,-12.7,-12.2,-15.8,-15.6,-14.5,-14,-14.3,-13.4,-12.7,-12.7,-9.21,-9.29,-10.1,-6.7
-16,-15.3,-13.7,-13.7,-12.9,-12.2,-16.2,-15.7,-14.9,-14.5,-14.3,-13.4,-15.7,-12.8,-11.1,-9.94,-10.4,-6.88
-16.5,-15.5,-13.8,-13.9,-13,-12.3,-18.2,-16.4,-15.1,-14.6,-14.3,-13.5,-16.2,-14.2,-11.5,-10.3,-10.7,-6.95
,-15.6,-14,-14.2,-13.2,-12.4,,-16.5,-15.1,-14.7,-14.4,-13.6,,-15.7,-12.5,-10.9,-11.1,-6.96
,-15.7,-14.2,-14.4,-13.3,-12.4,,-16.6,-15.1,-14.7,-14.5,-13.6,,-16.9,-12.6,-11.6,-11.5,-6.99
,-15.7,-14.2,-14.4,-13.4,-12.4,,-16.7,-15.4,-14.7,-14.6,-13.7,,-17.2,-14.4,-12.3,-11.9,-7.12
,-16.5,-14.2,-14.5,-13.4,-12.5,,-17,-15.4,-14.8,-14.8,-13.7,,-18,-14.6,-12.3,-12,-7.34
,-16.8,-14.3,-14.5,-13.4,-12.5,,-17.5,-15.4,-14.9,-14.8,-13.8,,-20.1,-15,-12.3,-12.1,-7.39
,,-14.3,-14.5,-13.6,-12.6,,,-15.6,-15.1,-14.9,-13.8,,,-15.2,-12.6,-12.1,-7.55
,,-15,-14.5,-13.7,-12.6,,,-15.6,-15.1,-14.9,-13.8,,,-15.3,-13.2,-12.1,-7.67
